iter	Logloss
160	0.401047121
161	0.4004643136
162	0.4001984954
163	0.399658899
164	0.3992430375
165	0.3988972455
166	0.3984825374
167	0.3980031061
168	0.397746641
169	0.3972688309
170	0.3968825197
171	0.3965084487
172	0.3957811659
173	0.3954204556
174	0.3952577221
175	0.3948789506
176	0.394442555
177	0.3943181084
178	0.3940869592
179	0.3936547369
180	0.3932368272
181	0.3928966262
182	0.3925376895
183	0.3920664919
184	0.3918538478
185	0.3914771508
186	0.391121828
187	0.3906939451
188	0.3903211351
189	0.3902100243
190	0.3901025748
191	0.3897998539
192	0.3894885469
193	0.3893882078
194	0.3890295456
195	0.3885506273
196	0.3883835605
197	0.3881438353
198	0.3879672067
199	0.3878060077
200	0.387385828
201	0.3870965659
202	0.3868628813
203	0.3865425264
204	0.3863088873
205	0.3860645037
206	0.3859671161
207	0.38560704
208	0.3854152073
209	0.3852673036
210	0.3849736022
211	0.3847163345
212	0.3845587693
213	0.3844519842
214	0.3841474224
215	0.3839337793
216	0.3837741029
217	0.3833469576
218	0.3830914068
219	0.3827752155
220	0.3825186701
221	0.3821378396
222	0.3819089949
223	0.3817443917
224	0.3814867154
225	0.3812959036
226	0.3810011813
227	0.3806782466
228	0.3805101891
229	0.3803326009
230	0.3801940067
231	0.3801613738
232	0.3800098531
233	0.3796216013
234	0.3795711544
235	0.3793937667
236	0.3791387126
237	0.378915516
238	0.3788697484
239	0.3787316917
240	0.3785627854
241	0.3783483837
242	0.378222985
243	0.3779408948
244	0.3777876581
245	0.3776159912
246	0.3775903637
247	0.3774184742
248	0.3773639078
249	0.3770985817
250	0.3767791572
251	0.3766307556
252	0.3764227504
253	0.3761405905
254	0.3760615321
255	0.3758766393
256	0.3757061977
257	0.3756226198
258	0.3753039973
259	0.3750100508
260	0.3749347594
261	0.3748698316
262	0.3747771585
263	0.3745008633
264	0.3744380325
265	0.3742604299
266	0.3739926714
267	0.3738826937
268	0.3736938266
269	0.3735583671
270	0.373390439
271	0.3731631318
272	0.3730212096
273	0.3727105549
274	0.3724105942
275	0.3722234987
276	0.3720164423
277	0.3718847529
278	0.3717823952
279	0.3716087311
280	0.3714486064
281	0.3713035662
282	0.3710575196
283	0.3709167668
284	0.3706496062
285	0.3705376504
286	0.370299149
287	0.3701578575
288	0.3700462619
289	0.3698004354
290	0.3697831356
291	0.3695931768
292	0.3695479119
293	0.3694919482
294	0.3694203627
295	0.3692172829
296	0.3689784252
297	0.3688603624
298	0.3686855643
299	0.3684395719
300	0.3683629441
301	0.3682103563
302	0.367956363
303	0.3678850721
304	0.3676531475
305	0.3675828994
306	0.3674267128
307	0.3672464379
308	0.3670385495
309	0.3670283815
310	0.3669690259
311	0.3669229649
312	0.3667548365
313	0.3666160332
314	0.3664806408
315	0.3663604201
316	0.3663393051
317	0.366220328
318	0.3659886273
319	0.3658795058
320	0.3658568984
321	0.3657027915
322	0.3654215818
323	0.365364865
324	0.3652973496
325	0.3652262439
326	0.3651094253
327	0.364966114
328	0.3648621405
329	0.3647983365
330	0.3647701265
331	0.3646162795
332	0.3645775101
333	0.3643433504
334	0.3641940897
335	0.3640235316
336	0.3640162652
337	0.3639899844
338	0.3638406093
339	0.3638337299
340	0.3637986145
341	0.3636986532
342	0.3635189043
343	0.3634168644
344	0.3633298502
345	0.3631793693
346	0.3630818526
347	0.3626981874
348	0.3624996613
349	0.3623787248
350	0.3621914125
351	0.3620452386
352	0.3618870473
353	0.3616606382
354	0.3616370514
355	0.3614240198
356	0.3613504929
357	0.3612588201
358	0.3612187792
359	0.3612007399
360	0.360991568
361	0.3609184054
362	0.360897693
363	0.3607850101
364	0.3605955977
365	0.3604299641
366	0.3603290754
367	0.3601815666
368	0.3601772903
369	0.3599949477
370	0.35980411
371	0.3596329043
372	0.359424
373	0.359331498
374	0.3592240896
375	0.3590097457
376	0.3589243012
377	0.3588049102
378	0.3586844616
379	0.358675925
380	0.3583858989
381	0.3583214972
382	0.3583098256
383	0.3581923728
384	0.3578601675
385	0.357729392
386	0.3575445154
387	0.3574153257
388	0.3572858042
389	0.357148671
390	0.3569641882
391	0.3568989391
392	0.3568447872
393	0.3567184436
394	0.3565851229
395	0.3564444002
396	0.3563849175
397	0.3563060663
398	0.3560943226
399	0.3560443916
400	0.3559095594
401	0.3557582552
402	0.3556690158
403	0.3555275231
404	0.3553519621
405	0.3552715898
406	0.3551041681
407	0.3549779615
408	0.354763458
409	0.3545935039
410	0.3545072173
411	0.3544006721
412	0.354321139
413	0.3539860811
414	0.3537772835
415	0.3536211516
416	0.3534584819
417	0.353329787
418	0.3532456197
419	0.3532426782
420	0.3529799202
421	0.3529251787
422	0.3529217692
423	0.3527719985
424	0.3527587361
425	0.3526428296
426	0.3525341404
427	0.3523683654
428	0.3522317119
429	0.352128866
430	0.3520478762
431	0.3518840337
432	0.3517890848
433	0.351725585
434	0.3516940447
435	0.3515492083
436	0.3514083689
437	0.3511796155
438	0.3509566875
439	0.3508672906
440	0.3507355721
441	0.3506046544
442	0.3504933021
443	0.3504355624
444	0.3503303686
445	0.3502944728
446	0.3502722419
447	0.3501424434
448	0.3500981049
449	0.349955825
450	0.3498792337
451	0.3497192749
452	0.3496815413
453	0.3495095632
454	0.3493543168
455	0.3492520278
456	0.3491522763
457	0.3490655474
458	0.3489317573
459	0.3488891075
460	0.3487247928
461	0.3487058691
462	0.3484842913
463	0.3484010107
464	0.3482296932
465	0.3482019323
466	0.3481306373
467	0.3480803167
468	0.3479040083
469	0.3478370241
470	0.3477774353
471	0.3476873786
472	0.347506948
473	0.3473834444
474	0.3473133717
475	0.3470898504
476	0.3468528542
477	0.3468089123
478	0.3467410377
479	0.3465569514
480	0.3464317264
481	0.3462765469
482	0.3462030635
483	0.3461709015
484	0.3461112322
485	0.345993184
486	0.3458951109
487	0.34581154
488	0.3457732434
489	0.3456846056
490	0.3456133377
491	0.3455005841
492	0.3453984449
493	0.3453255141
494	0.3453109628
495	0.3452881932
496	0.3451880911
497	0.3450995681
498	0.3450822621
499	0.3449802083
500	0.3448057837
501	0.3447954263
502	0.3447638205
503	0.3446190938
504	0.3445145403
505	0.344399979
506	0.3443716369
507	0.3443502197
508	0.3443111245
509	0.3441126668
510	0.344034163
511	0.3438829394
512	0.3437664593
513	0.3437151896
514	0.343571139
515	0.3434815322
516	0.3434630563
517	0.3433695841
518	0.3433221149
519	0.3432313329
520	0.3430444783
521	0.3428271913
522	0.3427190197
523	0.3425736261
524	0.3424902055
525	0.3423824799
526	0.3423027273
527	0.3422372286
528	0.3421525053
529	0.34210985
530	0.3419614463
531	0.3418858551
532	0.34171937
533	0.341599393
534	0.3415422062
535	0.3415211198
536	0.3413518943
537	0.341125987
538	0.3408644921
539	0.3407805799
540	0.3406938107
541	0.3404316492
542	0.3404079872
543	0.3403748627
544	0.3400414713
545	0.3400096244
546	0.3399458711
547	0.3398903827
548	0.3397834679
549	0.3395771692
550	0.3395257396
551	0.3394460338
552	0.339380584
553	0.3392811986
554	0.3391464403
555	0.3390252492
556	0.3389935498
557	0.3389635983
558	0.3388718241
559	0.3388420778
560	0.3387117049
561	0.3386222331
562	0.3385423671
563	0.3384791836
564	0.3383530463
565	0.3382683301
566	0.3380716782
567	0.3380210848
568	0.3379882459
569	0.3379193516
570	0.3377825834
571	0.3377181771
572	0.3376051868
573	0.3372846808
574	0.3371800119
575	0.337048169
576	0.3368830477
577	0.3368616596
578	0.3366277309
579	0.3366107052
580	0.3365250779
581	0.3364884756
582	0.3364531789
583	0.3362560621
584	0.3361889321
585	0.3360540336
586	0.3360302645
587	0.3359593836
588	0.33581369
589	0.3357715606
590	0.3357342106
591	0.3356680926
592	0.3355950821
593	0.3355573621
594	0.3353733413
595	0.3352384366
596	0.3351384918
597	0.3348694269
598	0.3347269039
599	0.3346044423
600	0.334397411
601	0.3343960786
602	0.3342647379
603	0.3341069458
604	0.3340262799
605	0.333936454
606	0.3337767573
607	0.3337167238
608	0.3337054653
609	0.3335007451
610	0.333407914
611	0.3333088304
612	0.3332328338
613	0.3331833377
614	0.333129203
615	0.3330374203
616	0.3328466655
617	0.3328121276
618	0.3326451497
619	0.3325897565
620	0.3325504941
621	0.3325425044
622	0.332531233
623	0.3324495101
624	0.3323357253
625	0.3322468529
626	0.3321950517
627	0.3321004406
628	0.3320189911
629	0.331787998
630	0.3317034672
631	0.3316661426
632	0.331593206
633	0.3315191208
634	0.3313881586
635	0.3311752942
636	0.3310750287
637	0.3310317033
638	0.3309198845
639	0.3308689021
640	0.3307607064
641	0.3305036452
642	0.3303949985
643	0.3302718362
644	0.3302354186
645	0.3301181863
646	0.3300378665
647	0.3299469065
648	0.329760178
649	0.3296854976
650	0.329658653
651	0.3294978529
652	0.3294066943
653	0.329343877
654	0.329286105
655	0.3292394467
656	0.3290835635
657	0.3288668151
658	0.3288273327
659	0.3286500718
660	0.3286442608
661	0.3285794315
662	0.328500108
663	0.3284309582
664	0.3282049916
665	0.3281828245
666	0.3281496977
667	0.3279956119
668	0.3278659338
669	0.3277838159
670	0.3277292445
671	0.3276557123
672	0.3275419535
673	0.3274475419
674	0.3273137449
675	0.3271984011
676	0.3271910478
677	0.3271313564
678	0.3270210912
679	0.3267716851
680	0.32671188
681	0.3264709505
682	0.3263903088
683	0.3263627036
684	0.3262080054
685	0.3261824734
686	0.3261260023
687	0.3258800897
688	0.3258749897
689	0.3258125432
690	0.3258003308
691	0.325725673
692	0.3256437643
693	0.3255471233
694	0.3254890024
695	0.3254784236
696	0.3253663149
697	0.3253246023
698	0.3252749017
699	0.3252502931
700	0.325186101
701	0.3251438659
702	0.3251315486
703	0.3250730508
704	0.3250431575
705	0.3249805439
706	0.3249331815
707	0.3247920298
708	0.3246650142
709	0.3246274231
710	0.3245478197
711	0.3245413217
712	0.3244139969
713	0.324315491
714	0.3242278379
715	0.3240628664
716	0.3239098346
717	0.3238877858
718	0.3237890306
719	0.3237643617
720	0.3237198828
721	0.323617198
722	0.3234860309
723	0.3231968598
724	0.3230890605
725	0.3229305827
726	0.3228538251
727	0.3227789224
728	0.3227418906
729	0.3227266535
730	0.3226322254
731	0.3226132481
732	0.3224577325
733	0.3224181028
734	0.3223949769
735	0.3223298299
736	0.3222513199
737	0.3220672589
738	0.3218400445
739	0.3218265158
740	0.3217850167
741	0.3216820579
742	0.3215485769
743	0.3215318841
744	0.3214275692
745	0.3214210488
746	0.3213458934
747	0.3211489232
748	0.32106021
749	0.3209725659
750	0.3207040214
751	0.3206501873
752	0.3205518669
753	0.3203763404
754	0.3201804657
755	0.3201130357
756	0.3201074509
757	0.3200682471
758	0.3200083383
759	0.3198699446
760	0.3196534099
761	0.319619637
762	0.3194919445
763	0.3194330661
764	0.3194080869
765	0.3192898198
766	0.3192321898
767	0.3191470216
768	0.3189807482
769	0.3189279486
770	0.318879307
771	0.3187324625
772	0.3186794371
773	0.3186728369
774	0.3185578132
775	0.3184952928
776	0.3184342149
777	0.3184100803
778	0.3183348442
779	0.3182763934
780	0.3180949821
781	0.3180521395
782	0.3178606042
783	0.3177956711
784	0.3177467602
785	0.3176688902
786	0.3175925212
787	0.3175521148
788	0.3174582183
789	0.3173843853
790	0.3173081846
791	0.317244065
792	0.3171548314
793	0.3171052834
794	0.3169566153
795	0.3168743883
796	0.3167344151
797	0.3165960702
798	0.3165324502
799	0.3163128026
800	0.3162252585
801	0.3160873138
802	0.316028669
803	0.315835947
804	0.315776175
805	0.3155597564
806	0.3155169375
807	0.3154858695
808	0.3154283625
809	0.3152477218
810	0.31513904
811	0.3148559332
812	0.3148511903
813	0.3145727962
814	0.3144650568
815	0.314324254
816	0.3141413982
817	0.3141047923
818	0.3140154436
819	0.3139871655
820	0.3137434784
821	0.3136562764
822	0.3136140634
823	0.3135868787
824	0.3134484598
825	0.3133463888
826	0.3132789321
827	0.3132373965
828	0.3130523964
829	0.3130376241
830	0.3129536263
831	0.3128566604
832	0.3127209094
833	0.312630697
834	0.31255928
835	0.3124706539
836	0.3124013628
837	0.3123406852
838	0.3120777931
839	0.3118712479
840	0.3116424959
841	0.3115157006
842	0.3113616785
843	0.3113091442
844	0.3112977134
845	0.3112454708
846	0.3112076464
847	0.3111040468
848	0.3109467301
849	0.3107760669
850	0.3106883145
851	0.3106230005
852	0.3105509776
853	0.3103074893
854	0.3102253277
855	0.3101743506
856	0.3100645559
857	0.3099783101
858	0.3097694456
859	0.3096642497
860	0.3096070546
861	0.309538528
862	0.3095102072
863	0.3092675936
864	0.3090886854
865	0.3090491034
866	0.3090254275
867	0.3089644488
868	0.3086202064
869	0.3084022842
870	0.3082874495
871	0.3080642444
872	0.3078269707
873	0.3077931081
874	0.3077070557
875	0.3076648533
876	0.3075144227
877	0.3072895408
878	0.3072375843
879	0.3070739221
880	0.3070070357
881	0.3069381824
882	0.3068200202
883	0.3066537987
884	0.3064261873
885	0.3063964565
886	0.3060906005
887	0.3060603843
888	0.3060320031
889	0.3059468456
890	0.3058074728
891	0.3057768324
892	0.3056795256
893	0.3055614832
894	0.3054984912
895	0.3053390868
896	0.3052217468
897	0.3051279387
898	0.3050184004
899	0.304746789
900	0.3046937553
901	0.3045773819
902	0.3045245913
903	0.3044542122
904	0.3044069144
905	0.3043384651
906	0.3042837502
907	0.3040294929
908	0.3039575495
909	0.3038905508
910	0.3038519653
911	0.3036485648
912	0.3035999943
913	0.3035418411
914	0.3034855227
915	0.3034279418
916	0.3033889549
917	0.3031497455
918	0.3031417147
919	0.3031045728
920	0.3030220704
921	0.3029862038
922	0.3029041642
923	0.3028035964
924	0.3027881349
925	0.3025632305
926	0.3024017097
927	0.302293918
928	0.3021981589
929	0.3021481474
930	0.302057297
931	0.3020039378
932	0.3019664939
933	0.3019344091
934	0.3019147613
935	0.3018547641
936	0.3018096638
937	0.3017833381
938	0.3016869726
939	0.301589973
940	0.3014635873
941	0.3012466656
942	0.3011646028
943	0.3011243964
944	0.3009873212
945	0.3009401605
946	0.3007746411
947	0.3007379819
948	0.3007164128
949	0.3004024214
950	0.3001779804
951	0.2999024954
952	0.2998458096
953	0.2997922341
954	0.2996878854
955	0.2996499337
956	0.2995261272
957	0.2995021747
958	0.2994128517
959	0.2993596892
960	0.2993243514
961	0.299274433
962	0.2992619212
963	0.2991972382
964	0.299150381
965	0.2990377163
966	0.2989842397
967	0.2988198612
968	0.2987632643
969	0.2986982531
970	0.2983631067
971	0.2982205478
972	0.2981698246
973	0.2980645853
974	0.2979707646
975	0.2979241976
976	0.2978562554
977	0.2978115651
978	0.2976328387
979	0.2975361389
980	0.2974778049
981	0.297409794
982	0.2972062051
983	0.2971374973
984	0.2971323778
985	0.2969834857
986	0.2969137271
987	0.2968492169
988	0.2965539764
989	0.2965251964
990	0.2963719797
991	0.2963007048
992	0.2962437592
993	0.2961826962
994	0.296135689
995	0.2959250323
996	0.2957699524
997	0.2954851131
998	0.295455756
999	0.2952882064
